x_1,x_2,Label
414,352,-1
452,266,-1
497,204,-1
474,342,-1
383,285,-1
502,158,-1
428,225,-1
508,293,-1
466,329,-1
486,369,-1
389,333,-1
397,69,-1
450,272,-1
471,264,-1
414,108,-1
411,228,-1
407,73,-1
408,379,-1
381,366,-1
407,162,-1
437,115,-1
468,270,-1
471,332,-1
478,65,-1
450,288,-1
422,194,-1
496,286,-1
464,351,-1
417,391,-1
437,37,-1
498,332,-1
423,258,-1
433,106,-1
405,201,-1
461,98,-1
456,268,-1
422,303,-1
494,264,-1
459,283,-1
418,345,-1
431,152,-1
431,283,-1
426,109,-1
427,156,-1
395,284,-1
429,351,-1
435,161,-1
395,146,-1
483,295,-1
488,288,-1
110,257,1
79,258,1
186,188,1
317,190,1
214,315,1
362,336,1
324,345,1
121,251,1
202,346,1
139,197,1
95,240,1
411,295,1
126,305,1
192,239,1
261,297,1
368,284,1
216,275,1
230,299,1
254,254,1
93,337,1
367,315,1
407,286,1
60,282,1
66,237,1
328,350,1
390,259,1
159,367,1
243,277,1
300,280,1
188,236,1
217,178,1
282,304,1
125,240,1
64,280,1
362,275,1
361,276,1
303,230,1
148,195,1
183,343,1
189,277,1
137,350,1
177,237,1
172,221,1
294,199,1
299,253,1
287,375,1
288,358,1
210,300,1
90,255,1
272,293,1
73,290,1
168,236,1
267,310,1
109,203,1
127,353,1
205,246,1
291,339,1
170,233,1
265,367,1
77,224,1
