x_1,x_2,Label
220,403,1
356,351,1
229,411,1
431,343,1
394,428,1
383,357,1
334,396,1
424,359,1
532,336,1
424,403,1
226,429,1
342,356,1
456,361,1
321,387,1
389,416,1
505,337,1
397,385,1
266,391,1
336,423,1
393,372,1
353,359,1
355,381,1
459,332,1
523,341,1
363,378,1
434,401,1
305,363,1
315,382,1
366,386,1
315,414,1
361,358,1
366,386,1
543,314,1
416,423,1
388,427,1
422,422,1
522,312,1
345,435,1
276,407,1
406,420,1
370,407,1
326,375,1
478,372,1
476,382,1
377,416,1
437,379,1
328,410,1
513,358,1
330,404,1
245,415,1
79,182,0
570,183,0
401,61,0
394,116,0
488,182,0
91,171,0
327,155,0
65,173,0
338,158,0
540,135,0
173,228,0
426,71,0
562,134,0
534,144,0
345,76,0
94,204,0
88,175,0
536,192,0
433,69,0
409,77,0
470,211,0
70,166,0
386,117,0
521,178,0
138,196,0
108,199,0
567,172,0
144,218,0
201,180,0
557,188,0
336,119,0
433,213,0
81,256,0
124,179,0
363,140,0
463,178,0
73,196,0
154,175,0
352,122,0
521,195,0
328,107,0
86,247,0
541,186,0
442,210,0
152,157,0
198,196,0
160,168,0
379,128,0
178,205,0
492,164,0
