x_1,x_2,Label
383,127,0
416,296,0
528,375,0
311,178,0
437,367,0
214,137,0
243,189,0
260,205,0
551,375,0
531,324,0
460,245,0
255,133,0
395,126,0
286,195,0
397,130,0
456,239,0
503,420,0
463,348,0
488,406,0
554,391,0
439,335,0
342,201,0
411,209,0
395,293,0
376,126,0
558,260,0
440,346,0
312,205,0
494,269,0
487,211,0
496,352,0
468,204,0
387,118,0
511,221,0
555,356,0
324,139,0
423,388,0
243,189,0
423,355,0
238,206,0
472,410,0
501,339,0
527,241,0
508,363,0
483,392,0
475,231,0
509,306,0
290,127,0
565,280,0
541,272,0
430,294,1
223,348,1
232,369,1
365,356,1
213,379,1
379,238,1
326,283,1
149,344,1
286,409,1
199,384,1
393,327,1
362,300,1
284,395,1
310,263,1
250,388,1
223,205,1
249,296,1
130,364,1
163,383,1
379,381,1
397,370,1
179,206,1
304,321,1
202,257,1
312,305,1
306,387,1
431,326,1
316,272,1
253,340,1
415,277,1
124,262,1
402,349,1
113,326,1
118,290,1
218,370,1
157,263,1
429,291,1
301,375,1
216,228,1
223,371,1
214,218,1
281,389,1
417,279,1
139,353,1
356,362,1
368,289,1
276,186,1
262,211,1
199,306,1
145,223,1
162,367,1
328,243,1
276,308,1
170,328,1
267,387,1
348,408,1
432,363,1
306,298,1
257,378,1
254,309,1
